Developer,Repository Name,Number of Stars,Forks,Stars Today,Language,Topics
@harry0703,harry0703/MoneyPrinterTurbo,46890,6557,7056,Python,"['python', 'automation', 'ai', 'moviepy', 'shortvideo', 'tiktok', 'chatgpt']"
@dexhorthy,humanlayer/humanlayer,6326,485,3789,TypeScript,"['ai', 'amp', 'opencode', 'agents', 'codex', 'human-in-the-loop', 'llm', 'llms', 'humanlayer', 'claude-code']"
@Paul-Licameli,audacity/audacity,15664,2451,1474,C++,"['audio', 'editor', 'cross-platform', 'gplv2', 'wxwidgets-applications']"
@vhf,EbookFoundation/free-programming-books,374325,65022,5351,Python,"['education', 'list', 'books', 'resource', 'hacktoberfest']"
@jatZama,zama-ai/fhevm,24819,1268,4948,Rust,"['privacy', 'blockchain', 'fhe']"
@cclauss,TheAlgorithms/Python,211766,48864,4012,Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']"
@actions-user,anthropics/claude-code,39836,2545,6082,TypeScript,['No topics']
@laanwj,bitcoin/bitcoin,86331,38058,843,C++,"['c-plus-plus', 'cryptography', 'bitcoin', 'p2p', 'cryptocurrency']"
@YaLTeR,YaLTeR/niri,13873,489,2402,Rust,"['rust', 'wayland-compositor', 'tiling-window-manager', 'wayland', 'smithay']"
@kamranahmedse,kamranahmedse/developer-roadmap,341616,43191,5046,TypeScript,"['computer-science', 'roadmap', 'python-roadmap', 'developer-roadmap', 'devops-roadmap', 'react-roadmap', 'frontend-roadmap', 'java-roadmap', 'backend-roadmap', 'go-roadmap', 'angular-roadmap', 'nodejs-roadmap', 'dba-roadmap', 'javascript-roadmap', 'vue-roadmap', 'blockchain-roadmap', 'qa-roadmap', 'software-architect-roadmap']"
@rullzer,nextcloud/server,32998,4602,2238,PHP,"['javascript', 'open-source', 'php', 'enterprise', 'design', 'opensource', 'cloud', 'ux', 'nextcloud', 'owncloud', 'decentralized', 'sharing', 'file-sharing', 'collaboration', 'distributed', 'free-software', 'usability', 'self-hosting', 'federation', 'hacktoberfest']"
@LarFii,HKUDS/RAG-Anything,9146,1044,3897,Python,"['retrieval-augmented-generation', 'multi-modal-rag']"
@jdx,jdx/mise,20660,690,1293,Rust,['No topics']
@tannerlinsley,TanStack/router,11827,1302,714,TypeScript,"['react', 'javascript', 'url', 'search', 'framework', 'typescript', 'router', 'state-management', 'ssr', 'routing', 'rpc', 'route', 'typesafe', 'fullstack', 'searchparams', 'server-functions']"
@TibixDev,TibixDev/winboat,14205,358,9004,TypeScript,"['windows', 'linux', 'docker', 'docker-compose', 'virtualization', 'rdp']"
@maidul98,Infisical/infisical,23369,1558,3282,TypeScript,"['go', 'cli', 'golang', 'open-source', 'security', 'postgres', 'typescript', 'vault', 'acme', 'secret-management', 'secrets', 'environment-variables', 'pki', 'node-js', 'security-tools', 'secrets-management', 'certificate-management', 'secret-scanning', 'secret-manager', 'private-ca']"
@hsliuping,hsliuping/TradingAgents-CN,11959,2544,4613,Python,['No topics']
@alckasoc,simular-ai/Agent-S,7739,840,1433,Python,"['memory', 'planning', 'cua', 'ai-agents', 'grounding', 'computer-automation', 'mllm', 'retrieval-augmented-generation', 'in-context-reinforcement-learning', 'agent-computer-interface', 'gui-agents', 'computer-use', 'computer-use-agent']"
@pi0,nitrojs/nitro,9460,737,1719,TypeScript,['No topics']
@karpathy,karpathy/micrograd,13552,1993,712,Jupyter Notebook,['No topics']
@LeiWang1999,tile-ai/tilelang,3788,290,1944,C++,['No topics']
@SkalskiP,roboflow/rf-detr,3909,445,837,Python,"['machine-learning', 'computer-vision', 'object-detection', 'sota', 'instance-segmentation', 'detr', 'rf-detr']"
